"Time stamp","PC input energy | (MWt)","PC efficiency: gross","PC electrical power output: gross | (MWe)","PC water consumption: makeup + cooling | (kg/s)","PC HTF inlet temperature | (C)","PC HTF outlet temperature | (C)","Rec. HTF inlet temperature | (C)","Rec. HTF outlet temperature | (C)","Rec. thermal efficiency"
"Jan 9, 12:00 pm",121.47,0.441902,53.6777,33.8387,573.286,290.72,290.233,573.286,0.961837
"Jan 9, 01:00 pm",121.359,0.444695,53.9678,34.4228,573.214,290.452,290.065,573.214,0.961209
"Jan 9, 02:00 pm",126.565,0.442488,56.0037,35.8594,573.221,291.132,290.457,573.221,0.957663
"Jan 9, 03:00 pm",126.65,0.442066,55.9876,35.9046,573.44,291.165,291.141,573.44,0.901106
"Jan 9, 04:00 pm",126.631,0.441774,55.9424,35.9167,573.425,291.192,291.167,573.425,0.893086
"Jan 9, 05:00 pm",126.617,0.441372,55.885,35.9358,573.428,291.228,291.203,573.428,0.884868
"Jan 9, 06:00 pm",126.609,0.443845,56.1947,35.796,573.197,291.011,290.987,573.197,0.892514
"Jan 9, 07:00 pm",121.389,0.439336,53.3306,33.9574,572.064,291.03,290,0,0
"Jan 9, 08:00 pm",121.359,0.441354,53.5623,33.8416,571.988,290.843,290,0,0
"Jan 9, 09:00 pm",121.359,0.442984,53.7601,33.7533,571.904,290.697,290,0,0
"Jan 9, 10:00 pm",121.359,0.444549,53.95,33.669,571.81,290.556,290,0,0
"Jan 9, 11:00 pm",121.357,0.434452,52.724,33.4468,571.701,291.51,290,0,0
"Jan 10, 12:00 am",121.359,0.436912,53.0232,33.3167,571.573,291.287,290,0,0
"Jan 10, 01:00 am",121.359,0.437425,53.0855,33.2893,571.419,291.248,290,0,0
"Jan 10, 02:00 am",121.359,0.437961,53.1505,33.2606,571.225,291.21,290,0,0
"Jan 10, 03:00 am",121.359,0.439605,53.3501,33.173,570.961,291.073,290,0,0
"Jan 10, 04:00 am",121.359,0.441026,53.5226,33.0972,570.549,290.969,290,0,0
"Jan 10, 05:00 am",9.62076,0.160869,3.91136,2.79386,572.446,284.485,290,0,0
"Jan 10, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 10, 07:00 am",42.4438,0,0,0,573.768,290,290,394.352,0.339172
"Jan 10, 08:00 am",122.182,0.374156,45.4073,28.5414,573.266,291.018,290.659,573.266,0.95575
"Jan 10, 09:00 am",121.342,0.434188,52.6853,33.4594,573.372,291.43,290.747,573.372,0.963698
"Jan 10, 10:00 am",121.359,0.44402,53.8858,33.6975,573.349,290.507,290.433,573.349,0.965434
"Jan 10, 11:00 am",121.359,0.442347,53.6828,33.7875,573.321,290.665,290.582,573.321,0.964703
"Jan 10, 12:00 pm",121.359,0.439962,53.3934,33.9146,573.292,290.891,290.365,573.292,0.962187
"Jan 10, 01:00 pm",121.341,0.439212,53.2943,33.9497,573.222,290.965,290.326,573.222,0.961563
"Jan 10, 02:00 pm",126.699,0.443806,56.2296,35.8186,573.394,291.01,290.344,573.394,0.95179
"Jan 10, 03:00 pm",126.695,0.443178,56.1486,35.8531,573.441,291.065,291.041,573.441,0.901517
"Jan 10, 04:00 pm",126.664,0.442511,56.05,35.8828,573.432,291.126,291.101,573.432,0.894524
"Jan 10, 05:00 pm",126.63,0.441621,55.9226,35.9246,573.437,291.205,291.181,573.437,0.886824
"Jan 10, 06:00 pm",126.593,0.443518,56.1464,35.8087,573.192,291.04,291.016,573.192,0.891712
"Jan 10, 07:00 pm",121.315,0.438671,53.2172,33.9724,572.088,291.085,290,0,0
"Jan 10, 08:00 pm",121.359,0.440081,53.4079,33.9081,572.013,290.961,290,0,0
"Jan 10, 09:00 pm",121.359,0.441474,53.5768,33.8329,571.929,290.836,290,0,0
"Jan 10, 10:00 pm",121.359,0.44299,53.7608,33.751,571.834,290.701,290,0,0
"Jan 10, 11:00 pm",121.359,0.44414,53.9004,33.689,571.726,290.6,290,0,0
"Jan 11, 12:00 am",121.359,0.436271,52.9455,33.3495,571.598,291.345,290,0,0
"Jan 11, 01:00 am",121.359,0.436658,52.9924,33.329,571.444,291.318,290,0,0
"Jan 11, 02:00 am",121.359,0.437072,53.0426,33.3069,571.25,291.292,290,0,0
"Jan 11, 03:00 am",121.359,0.4381,53.1674,33.2524,570.988,291.213,290,0,0
"Jan 11, 04:00 am",121.359,0.438914,53.2661,33.2092,570.577,291.164,290,0,0
"Jan 11, 05:00 am",9.77682,0.163479,3.97481,2.85284,572.431,284.394,290,0,0
"Jan 11, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 11, 07:00 am",42.075,0,0,0,573.769,290,290,393.777,0.33748
"Jan 11, 08:00 am",122.198,0.379426,46.0468,28.7432,573.268,290.399,290.333,573.268,0.956194
"Jan 11, 09:00 am",121.359,0.442339,53.6818,33.7884,573.375,290.663,290.583,573.375,0.96409
"Jan 11, 10:00 am",121.359,0.440791,53.4941,33.8716,573.352,290.809,290.432,573.352,0.965756
"Jan 11, 11:00 am",121.411,0.439622,53.3751,33.9473,573.323,290.926,290.437,573.323,0.964932
"Jan 11, 12:00 pm",121.359,0.44436,53.9271,34.4419,573.283,290.479,290.403,573.283,0.961236
"Jan 11, 01:00 pm",121.359,0.444015,53.8853,34.4599,573.21,290.516,290.433,573.21,0.960367
"Jan 11, 02:00 pm",126.611,0.441861,55.9447,35.9065,573.375,291.185,290.512,573.375,0.949784
"Jan 11, 03:00 pm",126.598,0.441031,55.8336,35.9499,573.417,291.259,291.234,573.417,0.896188
"Jan 11, 04:00 pm",126.754,0.445165,56.4265,36.5204,573.395,290.888,290.636,573.395,0.887044
"Jan 11, 05:00 pm",126.727,0.444536,56.3345,36.5495,573.391,290.945,290.699,573.391,0.87704
"Jan 11, 06:00 pm",126.606,0.443828,56.1911,35.795,573.192,291.012,290.988,573.192,0.891802
"Jan 11, 07:00 pm",121.317,0.439157,53.2771,33.9475,572.09,291.039,290,0,0
"Jan 11, 08:00 pm",121.359,0.440867,53.5033,33.8666,572.015,290.887,290,0,0
"Jan 11, 09:00 pm",121.359,0.442429,53.6928,33.7822,571.931,290.747,290,0,0
"Jan 11, 10:00 pm",121.359,0.443777,53.8563,33.7095,571.836,290.627,290,0,0
"Jan 11, 11:00 pm",121.359,0.444896,53.9922,33.6497,571.727,290.529,290,0,0
"Jan 12, 12:00 am",121.359,0.439304,53.3135,33.1887,571.6,291.06,290,0,0
"Jan 12, 01:00 am",121.359,0.440073,53.407,33.148,571.446,290.997,290,0,0
"Jan 12, 02:00 am",121.359,0.440642,53.4759,33.1176,571.253,290.957,290,0,0
"Jan 12, 03:00 am",121.359,0.441984,53.6388,33.046,570.991,290.85,290,0,0
"Jan 12, 04:00 am",121.359,0.443159,53.7814,32.9833,570.581,290.769,290,0,0
"Jan 12, 05:00 am",10.7184,0.179236,4.3576,3.10345,572.276,283.854,290,0,0
"Jan 12, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 12, 07:00 am",35.4013,0,0,0,573.776,290,290,382.684,0.299977
"Jan 12, 08:00 am",122.497,0.350559,42.5435,26.6609,573.243,290.895,290.534,573.243,0.954753
"Jan 12, 09:00 am",121.266,0.435173,52.7719,33.3867,573.36,291.331,290.613,573.36,0.963295
"Jan 12, 10:00 am",121.359,0.44509,54.0157,33.6395,573.339,290.407,290.338,573.339,0.965217
"Jan 12, 11:00 am",121.359,0.443975,53.8804,33.6984,573.311,290.513,290.437,573.311,0.964417
"Jan 12, 12:00 pm",121.359,0.440652,53.4772,33.8781,573.259,290.828,290.237,573.259,0.959493
"Jan 12, 01:00 pm",121.359,0.440003,53.3983,33.9122,573.181,290.894,290.198,573.181,0.958437
"Jan 12, 02:00 pm",126.63,0.444724,56.3155,35.7498,573.167,290.932,290.123,573.167,0.95365
"Jan 12, 03:00 pm",126.717,0.444148,56.2809,35.8043,573.403,290.979,290.969,573.403,0.892932
"Jan 12, 04:00 pm",126.674,0.44337,56.1635,35.8374,573.379,291.05,291.025,573.379,0.883078
