NOMBRE BARRA,NIVEL TENSIÓN,AÑO,MES,DÍA,HORA,CMg USD,,CMg Promedio,33.2
C.DOMINADOR___220,220,2019,11,16,19,35.5,,,
C.DOMINADOR___220,220,2019,11,16,13,30.3,,,
C.DOMINADOR___220,220,2019,11,16,14,29.7,,,
C.DOMINADOR___220,220,2019,11,16,9,29.7,,,
C.DOMINADOR___220,220,2019,11,16,10,29.7,,,
C.DOMINADOR___220,220,2019,11,16,11,30.2,,,
C.DOMINADOR___220,220,2019,11,16,12,30.4,,,
C.DOMINADOR___220,220,2019,11,16,1,40.1,,,
C.DOMINADOR___220,220,2019,11,16,20,39.1,,,
C.DOMINADOR___220,220,2019,11,16,2,40.1,,,
C.DOMINADOR___220,220,2019,11,16,15,29.6,,,
C.DOMINADOR___220,220,2019,11,16,3,40.1,,,
C.DOMINADOR___220,220,2019,11,16,4,40.1,,,
C.DOMINADOR___220,220,2019,11,16,5,40.1,,,
C.DOMINADOR___220,220,2019,11,16,6,40.1,,,
C.DOMINADOR___220,220,2019,11,16,7,40.1,,,
C.DOMINADOR___220,220,2019,11,16,8,40.1,,,
C.DOMINADOR___220,220,2019,11,16,21,39.1,,,
C.DOMINADOR___220,220,2019,11,16,22,39.1,,,
C.DOMINADOR___220,220,2019,11,16,23,39.1,,,
C.DOMINADOR___220,220,2019,11,16,24,39.1,,,
C.DOMINADOR___220,220,2019,11,17,9,26.8,,,
C.DOMINADOR___220,220,2019,11,17,10,26.8,,,
C.DOMINADOR___220,220,2019,11,17,11,27.8,,,
C.DOMINADOR___220,220,2019,11,17,19,34.6,,,
C.DOMINADOR___220,220,2019,11,17,6,37.3,,,
C.DOMINADOR___220,220,2019,11,17,7,33.7,,,
C.DOMINADOR___220,220,2019,11,17,8,31.1,,,
C.DOMINADOR___220,220,2019,11,17,13,25.6,,,
C.DOMINADOR___220,220,2019,11,17,14,25.8,,,
C.DOMINADOR___220,220,2019,11,17,15,25.8,,,
C.DOMINADOR___220,220,2019,11,17,16,25.6,,,
C.DOMINADOR___220,220,2019,11,17,17,25.6,,,
C.DOMINADOR___220,220,2019,11,17,18,28.3,,,
C.DOMINADOR___220,220,2019,11,17,12,28.1,,,
C.DOMINADOR___220,220,2019,11,17,1,39.9,,,
C.DOMINADOR___220,220,2019,11,17,2,39.9,,,
C.DOMINADOR___220,220,2019,11,17,3,39.9,,,
C.DOMINADOR___220,220,2019,11,17,4,39.9,,,
C.DOMINADOR___220,220,2019,11,17,5,39.9,,,
C.DOMINADOR___220,220,2019,11,17,20,38.4,,,
C.DOMINADOR___220,220,2019,11,17,21,38.4,,,
C.DOMINADOR___220,220,2019,11,17,22,38.4,,,
C.DOMINADOR___220,220,2019,11,17,23,38.4,,,
C.DOMINADOR___220,220,2019,11,17,24,38.4,,,
C.DOMINADOR___220,220,2019,11,18,4,31.2,,,
C.DOMINADOR___220,220,2019,11,18,9,28.4,,,
C.DOMINADOR___220,220,2019,11,18,10,29.1,,,
C.DOMINADOR___220,220,2019,11,18,5,35.9,,,
C.DOMINADOR___220,220,2019,11,18,6,36.4,,,
C.DOMINADOR___220,220,2019,11,18,24,38.3,,,
C.DOMINADOR___220,220,2019,11,18,1,31.1,,,
C.DOMINADOR___220,220,2019,11,18,2,29.8,,,
C.DOMINADOR___220,220,2019,11,18,16,29.1,,,
C.DOMINADOR___220,220,2019,11,18,7,36.4,,,
C.DOMINADOR___220,220,2019,11,18,8,35.9,,,
C.DOMINADOR___220,220,2019,11,18,19,35,,,
C.DOMINADOR___220,220,2019,11,18,17,29.1,,,
C.DOMINADOR___220,220,2019,11,18,18,29.5,,,
C.DOMINADOR___220,220,2019,11,18,3,29.8,,,
C.DOMINADOR___220,220,2019,11,18,11,29.7,,,
C.DOMINADOR___220,220,2019,11,18,20,36.8,,,
C.DOMINADOR___220,220,2019,11,18,12,29.7,,,
C.DOMINADOR___220,220,2019,11,18,13,29.7,,,
C.DOMINADOR___220,220,2019,11,18,14,29.7,,,
C.DOMINADOR___220,220,2019,11,18,21,38.7,,,
C.DOMINADOR___220,220,2019,11,18,22,38.7,,,
C.DOMINADOR___220,220,2019,11,18,15,29.6,,,
C.DOMINADOR___220,220,2019,11,18,23,38.5,,,
C.DOMINADOR___220,220,2019,11,19,22,63.7,,,
C.DOMINADOR___220,220,2019,11,19,23,63.8,,,
C.DOMINADOR___220,220,2019,11,19,21,52.2,,,
C.DOMINADOR___220,220,2019,11,19,20,43.3,,,
C.DOMINADOR___220,220,2019,11,19,1,40,,,
C.DOMINADOR___220,220,2019,11,19,2,40,,,
C.DOMINADOR___220,220,2019,11,19,3,40,,,
C.DOMINADOR___220,220,2019,11,19,24,54.7,,,
C.DOMINADOR___220,220,2019,11,19,4,40,,,
C.DOMINADOR___220,220,2019,11,19,5,40,,,
C.DOMINADOR___220,220,2019,11,19,6,40,,,
C.DOMINADOR___220,220,2019,11,19,7,40,,,
C.DOMINADOR___220,220,2019,11,19,8,40,,,
C.DOMINADOR___220,220,2019,11,19,9,33.8,,,
C.DOMINADOR___220,220,2019,11,19,10,33.8,,,
C.DOMINADOR___220,220,2019,11,19,11,33.8,,,
C.DOMINADOR___220,220,2019,11,19,12,33.8,,,
C.DOMINADOR___220,220,2019,11,19,13,33.8,,,
C.DOMINADOR___220,220,2019,11,19,14,33.8,,,
C.DOMINADOR___220,220,2019,11,19,15,33.8,,,
C.DOMINADOR___220,220,2019,11,19,16,33.8,,,
C.DOMINADOR___220,220,2019,11,19,17,33.9,,,
C.DOMINADOR___220,220,2019,11,19,18,33.9,,,
C.DOMINADOR___220,220,2019,11,19,19,39.9,,,
C.DOMINADOR___220,220,2019,11,20,20,48.5,,,
C.DOMINADOR___220,220,2019,11,20,7,43.6,,,
C.DOMINADOR___220,220,2019,11,20,8,44.1,,,
C.DOMINADOR___220,220,2019,11,20,22,72.1,,,
C.DOMINADOR___220,220,2019,11,20,21,62.1,,,
C.DOMINADOR___220,220,2019,11,20,9,32.7,,,
C.DOMINADOR___220,220,2019,11,20,2,42.5,,,
C.DOMINADOR___220,220,2019,11,20,3,42.5,,,
C.DOMINADOR___220,220,2019,11,20,4,42.5,,,
C.DOMINADOR___220,220,2019,11,20,5,42.5,,,
C.DOMINADOR___220,220,2019,11,20,6,42.5,,,
C.DOMINADOR___220,220,2019,11,20,10,32.6,,,
C.DOMINADOR___220,220,2019,11,20,11,32.9,,,
C.DOMINADOR___220,220,2019,11,20,23,52.7,,,
C.DOMINADOR___220,220,2019,11,20,24,42.1,,,
C.DOMINADOR___220,220,2019,11,20,19,42.1,,,
C.DOMINADOR___220,220,2019,11,20,1,42.5,,,
C.DOMINADOR___220,220,2019,11,20,13,32.9,,,
C.DOMINADOR___220,220,2019,11,20,15,32.9,,,
C.DOMINADOR___220,220,2019,11,20,16,33,,,
C.DOMINADOR___220,220,2019,11,20,17,33,,,
C.DOMINADOR___220,220,2019,11,20,18,33,,,
C.DOMINADOR___220,220,2019,11,20,14,32.8,,,
C.DOMINADOR___220,220,2019,11,21,17,29.8,,,
C.DOMINADOR___220,220,2019,11,21,18,31.3,,,
C.DOMINADOR___220,220,2019,11,21,1,41.4,,,
C.DOMINADOR___220,220,2019,11,21,3,41.4,,,
C.DOMINADOR___220,220,2019,11,21,4,41.4,,,
C.DOMINADOR___220,220,2019,11,21,5,41.4,,,
C.DOMINADOR___220,220,2019,11,21,6,41.4,,,
C.DOMINADOR___220,220,2019,11,21,7,41.4,,,
C.DOMINADOR___220,220,2019,11,21,8,41.4,,,
C.DOMINADOR___220,220,2019,11,21,9,32.7,,,
C.DOMINADOR___220,220,2019,11,21,10,32.7,,,
C.DOMINADOR___220,220,2019,11,21,11,32.7,,,
C.DOMINADOR___220,220,2019,11,21,12,32.7,,,
C.DOMINADOR___220,220,2019,11,21,13,32.7,,,
C.DOMINADOR___220,220,2019,11,21,14,32.7,,,
C.DOMINADOR___220,220,2019,11,21,15,32.7,,,
C.DOMINADOR___220,220,2019,11,21,19,40.5,,,
C.DOMINADOR___220,220,2019,11,21,20,40.5,,,
C.DOMINADOR___220,220,2019,11,21,21,40.9,,,
C.DOMINADOR___220,220,2019,11,21,23,43.3,,,
C.DOMINADOR___220,220,2019,11,21,24,40.5,,,
C.DOMINADOR___220,220,2019,11,21,22,49,,,
C.DOMINADOR___220,220,2019,11,22,12,27.4,,,
C.DOMINADOR___220,220,2019,11,22,13,26.8,,,
C.DOMINADOR___220,220,2019,11,20,12,33,,,
C.DOMINADOR___220,220,2019,11,22,14,26.3,,,
C.DOMINADOR___220,220,2019,11,22,15,26.2,,,
C.DOMINADOR___220,220,2019,11,22,9,28.8,,,
C.DOMINADOR___220,220,2019,11,22,10,28.1,,,
C.DOMINADOR___220,220,2019,11,22,11,28,,,
C.DOMINADOR___220,220,2019,11,22,16,26.7,,,
C.DOMINADOR___220,220,2019,11,22,17,27.2,,,
C.DOMINADOR___220,220,2019,11,22,18,33,,,
C.DOMINADOR___220,220,2019,11,22,21,43.6,,,
C.DOMINADOR___220,220,2019,11,22,23,46.7,,,
C.DOMINADOR___220,220,2019,11,22,22,55,,,
C.DOMINADOR___220,220,2019,11,22,1,40.7,,,
C.DOMINADOR___220,220,2019,11,22,2,40.7,,,
C.DOMINADOR___220,220,2019,11,22,3,40.7,,,
C.DOMINADOR___220,220,2019,11,22,4,40.7,,,
C.DOMINADOR___220,220,2019,11,22,5,40.7,,,
C.DOMINADOR___220,220,2019,11,22,6,40.7,,,
C.DOMINADOR___220,220,2019,11,22,7,40.7,,,
C.DOMINADOR___220,220,2019,11,22,8,40.7,,,
C.DOMINADOR___220,220,2019,11,22,19,40.6,,,
C.DOMINADOR___220,220,2019,11,22,20,40.6,,,
C.DOMINADOR___220,220,2019,11,22,24,40.6,,,
C.DOMINADOR___220,220,2019,11,23,9,29.8,,,
C.DOMINADOR___220,220,2019,11,23,10,29.8,,,
C.DOMINADOR___220,220,2019,11,23,11,29.8,,,
