"Time stamp","PC input energy | (MWt)","PC efficiency: gross","PC electrical power output: gross | (MWe)","PC water consumption: makeup + cooling | (kg/s)","PC HTF inlet temperature | (C)","PC HTF outlet temperature | (C)","Rec. HTF inlet temperature | (C)","Rec. HTF outlet temperature | (C)","Rec. thermal efficiency"
"Jan 2, 12:00 am",266.99,0.43769,116.859,73.2,572.002,291.187,290,0,0
"Jan 2, 01:00 am",266.99,0.437896,116.914,73.1761,571.881,291.175,290,0,0
"Jan 2, 02:00 am",266.99,0.4383,117.022,73.1288,571.729,291.146,290,0,0
"Jan 2, 03:00 am",266.99,0.439004,117.21,73.0466,571.523,291.093,290,0,0
"Jan 2, 04:00 am",266.99,0.439584,117.365,72.9785,571.202,291.059,290,0,0
"Jan 2, 05:00 am",26.8225,0.203919,10.9045,7.82135,572.394,282.978,290,0,0
"Jan 2, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 2, 07:00 am",122.513,0,0,0,573.738,290,290,420.057,0.428513
"Jan 2, 08:00 am",266.954,0.416544,111.197,70.5522,573.249,291.358,290.816,573.249,0.960264
"Jan 2, 09:00 am",266.99,0.443667,118.455,74.1714,573.344,290.54,290.465,573.344,0.96665
"Jan 2, 10:00 am",266.99,0.441411,117.852,74.4389,573.328,290.753,290.665,573.328,0.967587
"Jan 2, 11:00 am",266.955,0.439398,117.3,74.6679,573.31,290.942,290.438,573.31,0.967376
"Jan 2, 12:00 pm",266.952,0.439099,117.218,74.7013,573.31,290.97,290.407,573.31,0.967425
"Jan 2, 01:00 pm",266.896,0.443066,118.253,74.2179,573.278,290.597,290.213,573.278,0.967492
"Jan 2, 02:00 pm",278.516,0.4429,123.355,78.8548,573.256,291.094,290.422,573.256,0.951501
"Jan 2, 03:00 pm",278.385,0.442469,123.177,78.8747,573.165,291.135,291.111,573.165,0.920427
"Jan 2, 04:00 pm",278.368,0.442345,123.135,78.8858,573.159,291.146,291.122,573.159,0.915694
"Jan 2, 05:00 pm",278.334,0.441986,123.02,78.9221,573.158,291.178,291.154,573.158,0.90856
"Jan 2, 06:00 pm",278.392,0.442439,123.171,78.8799,573.174,291.137,291.113,573.174,0.902713
"Jan 2, 07:00 pm",266.99,0.444656,118.719,75.7308,572.347,290.512,290,0,0
"Jan 2, 08:00 pm",266.99,0.439598,117.368,74.6505,572.288,290.989,290,0,0
"Jan 2, 09:00 pm",266.99,0.441155,117.784,74.4657,572.222,290.847,290,0,0
"Jan 2, 10:00 pm",266.99,0.443018,118.281,74.2443,572.147,290.678,290,0,0
"Jan 2, 11:00 pm",266.99,0.444327,118.631,74.0891,572.062,290.561,290,0,0
"Jan 3, 12:00 am",266.99,0.435593,116.299,73.4471,571.961,291.386,290,0,0
"Jan 3, 01:00 am",266.99,0.437064,116.692,73.2747,571.84,291.256,290,0,0
"Jan 3, 02:00 am",266.99,0.438383,117.044,73.12,571.688,291.141,290,0,0
"Jan 3, 03:00 am",266.991,0.440095,117.501,72.9195,571.482,290.993,290,0,0
"Jan 3, 04:00 am",266.99,0.441967,118.001,72.6995,571.159,290.839,290,0,0
"Jan 3, 05:00 am",26.629,0.202449,10.8258,7.72148,572.384,283.03,290,0,0
"Jan 3, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 3, 07:00 am",113.643,0,0,0,573.738,290,290,410.621,0.395938
"Jan 3, 08:00 am",266.99,0.40423,107.926,67.866,573.22,291.114,290.704,573.22,0.958924
"Jan 3, 09:00 am",266.953,0.434526,115.998,73.5636,573.325,291.401,290.734,573.325,0.965418
"Jan 3, 10:00 am",266.99,0.444649,118.717,74.0537,573.309,290.45,290.377,573.309,0.96658
"Jan 3, 11:00 am",266.99,0.443212,118.333,74.2236,573.293,290.586,290.505,573.293,0.966437
"Jan 3, 12:00 pm",266.99,0.441551,117.89,74.4201,573.294,290.742,290.335,573.294,0.96688
"Jan 3, 01:00 pm",266.99,0.441175,117.789,74.4641,573.257,290.779,290.298,573.257,0.966263
"Jan 3, 02:00 pm",278.29,0.438766,122.104,77.6279,573.395,291.463,290.766,573.395,0.957645
"Jan 3, 03:00 pm",278.457,0.439822,122.472,77.5389,573.466,291.366,291.346,573.466,0.914286
"Jan 3, 04:00 pm",278.888,0.44485,124.063,78.7066,573.451,290.915,290.861,573.451,0.907734
"Jan 3, 05:00 pm",278.808,0.444026,123.798,78.7888,573.445,290.989,290.968,573.445,0.899679
"Jan 3, 06:00 pm",278.478,0.443639,123.544,78.754,573.154,291.03,290.998,573.154,0.899372
"Jan 3, 07:00 pm",266.921,0.444347,118.605,75.7518,572.338,290.538,290,0,0
"Jan 3, 08:00 pm",266.906,0.439167,117.216,74.6803,572.278,291.026,290,0,0
"Jan 3, 09:00 pm",266.991,0.440319,117.561,74.566,572.213,290.926,290,0,0
"Jan 3, 10:00 pm",266.99,0.441726,117.936,74.3998,572.138,290.799,290,0,0
"Jan 3, 11:00 pm",266.99,0.442765,118.214,74.2771,572.053,290.708,290,0,0
"Jan 4, 12:00 am",266.99,0.435306,116.222,73.4828,571.953,291.414,290,0,0
"Jan 4, 01:00 am",266.99,0.43636,116.504,73.3599,571.832,291.322,290,0,0
"Jan 4, 02:00 am",266.99,0.437019,116.68,73.2829,571.679,291.27,290,0,0
"Jan 4, 03:00 am",266.99,0.437679,116.856,73.2058,571.473,291.221,290,0,0
"Jan 4, 04:00 am",266.99,0.438214,116.999,73.1433,571.152,291.191,290,0,0
"Jan 4, 05:00 am",25.4917,0.193796,10.3635,7.45248,572.453,283.328,290,0,0
"Jan 4, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 4, 07:00 am",0,0,0,0,574,290,290,0,0
"Jan 4, 08:00 am",178.902,0.0741501,19.7974,12.4836,573.456,290.216,290.194,479.755,0.641792
"Jan 4, 09:00 am",147.443,0.43449,64.0625,41.2079,569.87,284.776,290,0,0
"Jan 4, 10:00 am",30.8996,0,0,0,573.875,290,290,335.798,0.145907
"Jan 4, 11:00 am",271.624,0.280235,74.8199,47.0345,573.28,290.405,290.165,573.28,0.966448
"Jan 4, 12:00 pm",266.99,0.444678,118.725,75.733,573.246,290.452,290.374,573.246,0.962808
"Jan 4, 01:00 pm",266.99,0.444545,118.689,75.7479,573.179,290.468,290.385,573.179,0.961765
"Jan 4, 02:00 pm",266.99,0.443924,118.523,75.8209,573.186,290.526,290.148,573.186,0.958642
"Jan 4, 03:00 pm",266.99,0.443324,118.363,75.892,573.17,290.583,290.143,573.17,0.954529
"Jan 4, 04:00 pm",266.99,0.442664,118.187,75.9705,573.399,290.631,290.128,573.399,0.948094
"Jan 4, 05:00 pm",278.924,0.445184,124.172,80.3585,573.457,290.885,290.635,573.457,0.925719
"Jan 4, 06:00 pm",278.231,0.440756,122.632,79.054,573.163,291.288,291.264,573.163,0.90093
"Jan 4, 07:00 pm",266.99,0.442809,118.225,75.9566,572.465,290.677,290,0,0
"Jan 4, 08:00 pm",266.99,0.444295,118.622,75.7804,572.406,290.542,290,0,0
"Jan 4, 09:00 pm",266.908,0.439116,117.203,74.6937,572.34,291.028,290,0,0
"Jan 4, 10:00 pm",266.99,0.440771,117.682,74.5186,572.266,290.88,290,0,0
"Jan 4, 11:00 pm",266.99,0.442381,118.111,74.3277,572.18,290.735,290,0,0
"Jan 5, 12:00 am",266.943,0.434563,116.004,73.5604,572.08,291.474,290,0,0
"Jan 5, 01:00 am",266.991,0.435852,116.368,73.4216,571.96,291.362,290,0,0
"Jan 5, 02:00 am",266.99,0.437184,116.724,73.2652,571.808,291.246,290,0,0
"Jan 5, 03:00 am",266.99,0.43862,117.107,73.0969,571.602,291.124,290,0,0
"Jan 5, 04:00 am",266.99,0.439883,117.444,72.9485,571.282,291.025,290,0,0
"Jan 5, 05:00 am",27.0784,0.205867,11.0085,7.88229,572.419,282.908,290,0,0
"Jan 5, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 5, 07:00 am",0,0,0,0,574,290,290,0,0
"Jan 5, 08:00 am",0,0,0,0,574,290,290,0,0
"Jan 5, 09:00 am",195.95,0.104134,27.8027,17.3102,573.482,290.094,290.077,497.915,0.707898
"Jan 5, 10:00 am",266.99,0.44334,118.367,74.214,573.288,290.574,290.493,573.288,0.966135
"Jan 5, 11:00 am",266.99,0.441963,118,74.3762,573.274,290.704,290.616,573.274,0.96602
"Jan 5, 12:00 pm",267.221,0.441267,117.916,74.5153,573.111,290.79,290.673,573.303,0.904601
"Jan 5, 01:00 pm",267.023,0.440949,117.744,74.5013,573.148,290.809,290.704,573.271,0.905853
"Jan 5, 02:00 pm",267.174,0.440418,117.668,74.6009,573.077,290.87,290.748,573.475,0.886348
"Jan 5, 03:00 pm",267.245,0.439969,117.579,74.6729,572.493,290.952,290.781,573.16,0.844748
"Jan 5, 04:00 pm",266.928,0.439155,117.223,74.6892,571.424,291.082,290,0,0
"Jan 5, 05:00 pm",266.931,0.442608,118.146,74.2839,571.221,290.773,290,0,0
"Jan 5, 06:00 pm",266.99,0.444657,118.719,75.7377,570.902,290.607,290,0,0
"Jan 5, 07:00 pm",15.126,0.114597,6.12953,4.55268,573.029,286.09,290,0,0
"Jan 5, 08:00 pm",0,0,0,0,574,290,290,0,0
"Jan 5, 09:00 pm",0,0,0,0,574,290,290,0,0
"Jan 5, 10:00 pm",0,0,0,0,574,290,290,0,0
"Jan 5, 11:00 pm",0,0,0,0,574,290,290,0,0
"Jan 6, 12:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 01:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 02:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 03:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 04:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 05:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 6, 07:00 am",92.7385,0,0,0,573.746,290,290,393.878,0.338954
"Jan 6, 08:00 am",268.817,0.379796,101.402,63.2627,573.181,290.393,290.322,573.181,0.957453
"Jan 6, 09:00 am",266.99,0.442391,118.114,74.3272,573.305,290.662,290.199,573.305,0.965077
"Jan 6, 10:00 am",266.991,0.440613,117.64,74.5381,573.297,290.829,290.22,573.297,0.966606
"Jan 6, 11:00 am",266.95,0.43902,117.197,74.7166,573.283,290.979,290.24,573.283,0.966622
"Jan 6, 12:00 pm",266.954,0.439555,117.341,74.6524,573.263,290.93,290.178,573.263,0.964441
"Jan 6, 01:00 pm",266.951,0.439419,117.303,74.6662,573.205,290.946,290.133,573.205,0.96392
"Jan 6, 02:00 pm",266.944,0.438898,117.161,74.7253,573.178,290.997,281.707,573.178,0.96181
"Jan 6, 03:00 pm",278.782,0.443807,123.725,78.8138,573.438,291.009,290.985,573.438,0.908249
"Jan 6, 04:00 pm",278.711,0.443222,123.531,78.8689,573.419,291.062,291.037,573.419,0.900883
"Jan 6, 05:00 pm",266.99,0.443559,118.426,75.8657,571.844,290.647,290,0,0
"Jan 6, 06:00 pm",266.99,0.442864,118.24,75.9513,571.786,290.715,290,0,0
"Jan 6, 07:00 pm",266.99,0.443799,118.49,75.8413,571.72,290.632,290,0,0
"Jan 6, 08:00 pm",267.143,0.441548,117.957,76.1466,571.647,290.854,290,0,0
"Jan 6, 09:00 pm",266.991,0.440051,117.489,74.6064,571.562,290.992,290,0,0
"Jan 6, 10:00 pm",266.99,0.441837,117.966,74.3945,571.462,290.832,290,0,0
"Jan 6, 11:00 pm",266.99,0.443509,118.413,74.1956,571.342,290.684,290,0,0
"Jan 7, 12:00 am",266.99,0.435344,116.232,73.4833,571.189,291.458,290,0,0
"Jan 7, 01:00 am",266.99,0.436481,116.536,73.3504,570.983,291.365,290,0,0
"Jan 7, 02:00 am",266.99,0.4375,116.808,73.2311,570.66,291.291,290,0,0
"Jan 7, 03:00 am",21.0241,0.159818,8.54732,6.14239,572.54,284.513,290,0,0
"Jan 7, 04:00 am",0,0,0,0,574,290,290,0,0
"Jan 7, 05:00 am",0,0,0,0,574,290,290,0,0
"Jan 7, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 7, 07:00 am",106.553,0,0,0,573.74,290,290,403.187,0.370299
